GHI,DNI,DHI,Temperature,Tilted Irradiance (Adjusted)
244,383,111,25.200000000000003,387.749657838728
144,92,114,7.7,178.3247485095829
0,0,0,-9.8,0.0
0,0,0,11.9,0.0
0,0,0,1.5,0.0
201,349,97,10.2,364.4481460244314
0,0,0,17.0,0.0
0,0,0,17.7,0.0
0,0,0,20.4,0.0
441,857,74,2.1,779.3920042743534
456,673,104,24.200000000000003,659.6937026676347
142,230,84,24.8,235.8585519575631
18,1,18,24.8,15.516354800876236
0,0,0,21.4,0.0
0,0,0,22.700000000000003,0.0
0,0,0,10.9,0.0
321,843,47,-2.1,750.2238704382703
77,279,41,25.6,181.38891335008267
0,0,0,10.7,0.0
298,18,282,19.200000000000003,256.58146764893183
0,0,0,22.200000000000003,0.0
188,6,183,25.4,156.3140927038229
4,19,4,12.1,11.702346757921855
340,252,189,27.700000000000003,356.586750928191
482,685,113,23.6,682.8984419747445
160,45,140,13.3,156.6609284701654
179,658,45,-1.5,544.5305802087029
89,0,89,30.8,71.40939799137787
216,427,90,25.200000000000003,348.28055665797245
0,0,0,25.3,0.0
3,35,4,1.3,25.746847336982505
0,0,0,0.2,0.0
0,0,0,20.5,0.0
0,0,0,21.9,0.0
16,31,14,1.5,33.13232455763271
0,0,0,2.8000000000000003,0.0
0,0,0,10.9,0.0
0,0,0,6.9,0.0
102,582,31,-0.1,340.7657468731954
0,0,0,2.6,0.0
439,517,169,-8.4,651.0920228772569
299,718,58,20.1,617.9185943748856
45,262,26,22.8,188.9199299429711
0,0,0,16.3,0.0
0,0,0,-3.2,0.0
0,0,0,1.9,0.0
363,485,130,22.700000000000003,467.8820210071028
137,1,136,11.9,120.77685545654856
65,98,51,8.200000000000001,101.64718794413812
0,0,0,21.0,0.0
45,256,26,17.6,150.62245455003463
0,0,0,-10.7,0.0
1,3,1,13.7,2.116030607298796
